Designator,Mid X,Mid Y,Rotation,Layer
AM0,129.7,-227.0,270.0,top
AM0:1,109.5375,-171.45,0.0,top
AM0:10,319.0875,-171.458839,0.0,top
AM0:11,338.1375,-171.458839,0.0,top
AM0:12,357.1875,-171.458839,0.0,top
AM0:13,376.2375,-171.458839,0.0,top
AM0:14,109.5375,-195.2625,0.0,top
AM0:15,128.5875,-195.2625,0.0,top
AM0:16,147.6375,-195.2625,0.0,top
AM0:17,166.6875,-195.2625,0.0,top
AM0:18,185.7375,-195.2625,0.0,top
AM0:19,204.7875,-195.2625,0.0,top
AM0:2,141.2875,-171.458839,0.0,top
AM0:20,223.8375,-195.2625,0.0,top
AM0:21,242.8875,-195.2625,0.0,top
AM0:22,261.9375,-195.2625,0.0,top
AM0:23,280.9875,-195.2625,0.0,top
AM0:24,300.0375,-195.2625,0.0,top
AM0:25,319.0875,-195.2625,0.0,top
AM0:26,338.1375,-195.2625,0.0,top
AM0:27,366.7125,-195.2625,0.0,top
AM0:28,114.3,-214.3125,0.0,top
AM0:29,138.1125,-214.3125,0.0,top
AM0:3,160.3375,-171.458839,0.0,top
AM0:30,157.1625,-214.3125,0.0,top
AM0:31,176.2125,-214.3125,0.0,top
AM0:32,195.2625,-214.3125,0.0,top
AM0:33,214.3125,-214.3125,0.0,top
AM0:34,233.3625,-214.3125,0.0,top
AM0:35,252.4125,-214.3125,0.0,top
AM0:36,271.4625,-214.3125,0.0,top
AM0:37,290.5125,-214.3125,0.0,top
AM0:38,309.5625,-214.3125,0.0,top
AM0:39,328.6125,-214.3125,0.0,top
AM0:4,179.3875,-171.458839,0.0,top
AM0:40,347.6625,-214.3125,0.0,top
AM0:41,371.475,-214.3125,0.0,top
AM0:42,116.68125,-233.3625,0.0,top
AM0:43,142.875,-233.3625,0.0,top
AM0:44,161.925,-233.3625,0.0,top
AM0:45,180.975,-233.3625,0.0,top
AM0:46,200.025,-233.3625,0.0,top
AM0:47,219.075,-233.3625,0.0,top
AM0:48,238.125,-233.3625,0.0,top
AM0:49,257.175,-233.3625,0.0,top
AM0:5,198.4375,-171.458839,0.0,top
AM0:50,276.225,-233.3625,0.0,top
AM0:51,295.275,-233.3625,0.0,top
AM0:52,314.325,-233.3625,0.0,top
AM0:53,333.375,-233.3625,0.0,top
AM0:54,121.44375,-252.4125,0.0,top
AM0:55,152.4,-252.4125,0.0,top
AM0:56,171.45,-252.4125,0.0,top
AM0:57,190.5,-252.4125,0.0,top
AM0:58,209.55,-252.4125,0.0,top
AM0:59,228.6,-252.4125,0.0,top
AM0:6,230.1875,-171.458839,0.0,top
AM0:60,247.65,-252.4125,0.0,top
AM0:61,266.7,-252.4125,0.0,top
AM0:62,285.75,-252.4125,0.0,top
AM0:63,304.8,-252.4125,0.0,top
AM0:64,323.85,-252.4125,0.0,top
AM0:65,359.56875,-252.4125,0.0,top
AM0:66,111.91875,-271.4625,0.0,top
AM0:67,135.73125,-271.4625,0.0,top
AM0:68,159.54375,-271.4625,0.0,top
AM0:69,230.98125,-271.4625,0.0,top
AM0:7,249.2375,-171.458839,0.0,top
AM0:70,302.41875,-271.4625,0.0,top
AM0:71,326.23125,-271.4625,0.0,top
AM0:72,350.04375,-271.4625,0.0,top
AM0:73,373.85625,-271.4625,0.0,top
AM0:74,364.33125,-233.3625,0.0,top
AM0:75,399.9375,-195.2625,0.0,top
AM0:76,400.05,-214.3125,0.0,top
AM0:77,419.1,-195.2625,0.0,top
AM0:78,419.1,-214.3125,0.0,top
AM0:79,438.15,-195.2625,0.0,top
AM0:8,268.2875,-171.458839,0.0,top
AM0:80,438.15,-214.3125,0.0,top
AM0:81,400.05,-271.4625,0.0,top
AM0:82,419.1,-271.4625,0.0,top
AM0:83,438.15,-271.4625,0.0,top
AM0:84,419.1,-252.4125,0.0,top
AM0:85,400.05,-171.45,0.0,top
AM0:86,419.1,-171.45,0.0,top
AM0:87,438.15,-171.45,0.0,top
AM0:9,287.3375,-171.458839,0.0,top
AM1,226.55,-227.0,270.0,top
AM2,303.74,-227.0,270.0,top
AM3,380.0,-227.0,270.0,top
AM4,171.45,-227.0,270.0,top
AM5,265.75,-227.0,270.0,top
BOOT1,398.15,-228.25,0.0,top
C2,415.775,-237.795465,270.0,top
C3,424.525,-241.845466,180.0,top
C4,431.546751,-227.695466,135.0,top
C5,418.025,-241.995466,0.0,top
C6,418.125,-227.695466,225.0,top
C7,430.675,-241.845466,0.0,top
C8,211.788774,-177.25,180.0,top
C9,211.838774,-183.7,180.0,top
D1,406.4,-239.25,0.0,top
F1,211.6,-174.35,0.0,top
FID1,103.25,-183.5,0.0,top
FID2,387.9,-208.9,0.0,top
FID3,252.7,-274.05,0.0,top
J2,214.538774,-166.15,180.0,top
R1,216.913774,-172.25,0.0,top
R2,211.813774,-172.3,180.0,top
R3,407.75,-230.15,0.0,top
R4,403.7,-239.25,0.0,top
U1,424.3,-233.845466,270.0,top
U10,268.2875,-171.546339,225.0,top
U11,287.3375,-171.458839,225.0,top
U12,319.0875,-171.458839,225.0,top
U13,338.1375,-171.546339,225.0,top
U14,357.1875,-171.546339,225.0,top
U15,376.2375,-171.546339,225.0,top
U16,216.888774,-175.472499,0.0,top
U17,211.838774,-180.3875,270.0,top
U19,109.5125,-195.25,225.0,top
U20,128.5875,-195.2625,225.0,top
U21,147.637087,-195.262913,225.0,top
U22,166.6875,-195.35,225.0,top
U23,185.7375,-195.2625,225.0,top
U24,204.7875,-195.2625,225.0,top
U25,223.8375,-195.2625,225.0,top
U26,242.8875,-195.2625,225.0,top
U27,261.9375,-195.2625,225.0,top
U28,280.9875,-195.2625,225.0,top
U29,300.0375,-195.2625,225.0,top
U3,109.5375,-171.45,225.0,top
U30,319.0875,-195.2625,225.0,top
U31,338.1375,-195.2625,225.0,top
U32,399.9375,-195.35,225.0,top
U33,419.1,-195.2625,225.0,top
U34,438.15,-195.2625,225.0,top
U35,114.287087,-214.312913,225.0,top
U36,138.1125,-214.3125,225.0,top
U37,157.1625,-214.3125,225.0,top
U38,176.2125,-214.3125,225.0,top
U39,195.2625,-214.3125,225.0,top
U4,141.287087,-171.459252,225.0,top
U40,214.3125,-214.312913,225.0,top
U41,233.3625,-214.3125,225.0,top
U42,252.4125,-214.3125,225.0,top
U43,271.4625,-214.3125,225.0,top
U44,290.5125,-214.3125,225.0,top
U45,309.5625,-214.3125,225.0,top
U46,328.6125,-214.3125,225.0,top
U47,347.6625,-214.3125,225.0,top
U48,400.05,-214.4,225.0,top
U49,419.1,-214.3125,225.0,top
U5,160.337087,-171.458839,225.0,top
U50,438.15,-214.3125,225.0,top
U51,142.875,-233.3625,225.0,top
U52,161.925,-233.45,225.0,top
U53,180.975,-233.3625,225.0,top
U54,200.025,-233.3625,225.0,top
U55,219.075,-233.45,225.0,top
U56,238.125,-233.3625,225.0,top
U57,257.175,-233.3625,225.0,top
U58,276.225,-233.3625,225.0,top
U59,295.275,-233.3625,225.0,top
U6,179.3875,-171.458839,225.0,top
U60,314.325,-233.45,225.0,top
U61,333.375,-233.3625,225.0,top
U62,364.33125,-233.3625,225.0,top
U63,116.68125,-233.3625,225.0,top
U64,366.7125,-195.2625,225.0,top
U65,419.1,-252.4125,225.0,top
U66,371.475,-214.4,225.0,top
U67,121.44375,-252.4125,225.0,top
U68,152.4,-252.4125,225.0,top
U69,171.45,-252.4125,225.0,top
U7,198.437087,-171.462913,225.0,top
U70,190.5,-252.4125,225.0,top
U71,209.55,-252.4125,225.0,top
U72,228.6,-252.4125,225.0,top
U73,247.65,-252.4125,225.0,top
U74,266.7,-252.4125,225.0,top
U75,285.75,-252.4125,225.0,top
U76,304.8,-252.4125,225.0,top
U77,323.85,-252.4125,225.0,top
U78,359.56875,-252.4125,225.0,top
U79,111.91875,-271.4625,225.0,top
U8,230.187087,-171.462913,225.0,top
U80,400.05,-271.55,225.0,top
U81,419.1,-271.4625,225.0,top
U82,438.15,-271.4625,225.0,top
U83,135.73125,-271.4625,225.0,top
U84,159.54375,-271.4625,225.0,top
U85,230.98125,-271.4625,225.0,top
U86,302.41875,-271.4625,225.0,top
U87,326.23125,-271.4625,225.0,top
U88,350.04375,-271.4625,225.0,top
U89,373.85625,-271.55,225.0,top
U9,249.237087,-171.462913,225.0,top
U90,400.05,-171.45,225.0,top
U91,419.1,-171.45,225.0,top
U92,438.15,-171.45,225.0,top
